ekph,iconicReferent,identifiedResource
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek10_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek10/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek11_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek11/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek12_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek12/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1_canvas6,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek20_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek20/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek21_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek21/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek22_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek22/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek23_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek23/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek24_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek24/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26_canvas16,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek2_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek2/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek3_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek3/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek4_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek4/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek5_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek5/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek7_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek7/iconic_ref,
