ekph,work,label
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek4_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek4/iconic_ref,"Amedeo Modigliani, Il poeta, ?"
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek3_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek3/iconic_ref,"Amedeo Modigliani, La massaia, 1915"
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek1_canvas11,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek1/iconic_ref,"Amedeo Modigliani, Ritratto di Hans Arp, 1916"
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5/iconic_ref,"Andrea Orcagna, Profeti (affresco), ?"
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5/iconic_ref,"Andrea Orcagna, Profeti (affresco), ?"
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18/iconic_ref,"Carlo Carrà, Canale a Venezia, 1926"
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/iconic_ref,"Carlo Carrà, La loggia, 1942"
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26_canvas16,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/iconic_ref,"Carlo Carrà, La loggia, 1942"
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19/iconic_ref,"Carlo Carrà, Lucia (nudo), 1927"
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25/iconic_ref,"Carlo Carrà, Marina di Carrara, 1930"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek6_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek6/iconic_ref,"Filippo De Pisis, Due Lucci appesi, 1927"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek11_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek11/iconic_ref,"Filippo De Pisis, Grandi fiori di casa Massimo, ?"
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/iconic_ref,"Filippo De Pisis, Hommage à Watteau, ?"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek3_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek3/iconic_ref,"Filippo De Pisis, L'uomo con il tubino, 1920"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek1_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek1/iconic_ref,"Filippo De Pisis, Natura Morta (Anfuso), 1920"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek2_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek2/iconic_ref,"Filippo De Pisis, Natura morta con conchiglia, 1918"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek4_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek4/iconic_ref,"Filippo De Pisis, Paesaggio di Tivoli (Signorelli), ?"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek9_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek9/iconic_ref,"Filippo De Pisis, Place de la Concorde, ?"
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10/iconic_ref,"Filippo De Pisis, Ritratto della Ragina, ?"
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek10_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek10/iconic_ref,"Guido Reni, Amor Sacro e Amor Profano, ?"
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek13_canvas24,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek13/iconic_ref,"Guido Reni, San Giovanni Battista (Torino), ?"
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek8_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek8/iconic_ref,"Guido Reni, Sansone Vittorioso, 1614-1616"
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek7_canvas8,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek7/iconic_ref,"Jacques-Louis David, Ritratto del convenzionale Gerard con la sua famiglia, ?"
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek4_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek4/iconic_ref,"Jacques-Louis David, Ritratto di Mme Chalgrin, 1794"
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21/iconic_ref,"Jean-Auguste-Dominique Ingres, Ritratto di Mme Mallet, ?"
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21_canvas19,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21/iconic_ref,"Jean-Auguste-Dominique Ingres, Ritratto di Mme Mallet, ?"
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek9_canvas10,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek9/iconic_ref,"Jean-Auguste-Dominique Ingres, Ritratto di ragazzo, 1804"
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek4_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek4/iconic_ref,"Maso di Banco, Cristo coronato di spine (affresco), ?"
