annotation,bodyValue,facsimileTargets,imageTargets
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_0,"ripensarlo, oggi, così a distanza, mi pare che questa figura, questa testa, e la suggestione e quasi il mistero che vi sortono affondati e irraggiungibili, questo ""oggetto"" degno di medi- tazione e di lenta osservazione, cosparso alla superfice di qualcosa come una malinconia im- ponderabile, - questo misterioso ""Gentiluomo ubriaco"", resti nel tempo e nella memoria col peso inevitabile di uno di quei sassi, o massi di sasso, in cui il genio particolare di Costantino Brancusi, lo scultore rumeno, da cui si può dire che incomincia una ""nuova scul- tura, ha saputo vedere e rivelare alla luce della vita, una testa, un volto umano, spingendolo, si può dire, fino all'orlo del sorriso","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=151,542,1436,56 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=149,613,1436,61 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=159,1440,1398,62 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=161,691,1430,65 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=169,843,1422,59 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=155,919,1432,61 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=159,998,1416,59 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=195,1061,1424,61 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=155,463,1436,59 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p7#xywh=173,766,1390,58",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_1,"questo ""zuccone"" donatelliano del ventesimo secolo.","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=195,1061,1424,61",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_2,"Alla base del naso, dove il naso si spicca dal volto. Poi, più sotto, dove diremo che è il men- to, dove l'ovoide allungato del capo dovrebbe inserirsi sul collo È qui, come si sa, il collo è invece solo un cilindro, un breve cilindro, ma staccato, tagliato fuori dal soprastante capo","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=195,1061,1424,61 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=201,1213,1432,61 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=203,1138,1424,56 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=193,1287,1402,63 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=195,1364,1414,58",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_3,"le aggiunte di colore andavano a raggiungere l'orecchio, il padiglione dell'orecchio,","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=195,1364,1414,58 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=189,1437,1410,65",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_4,"che è l'orecchio sinistro del ""Gentiluomo"", dove questo si attacca, aderisce alla parte cilindrica posteriore della testa.","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=191,1516,1412,60 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=189,1437,1410,65",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_5,"Quel bianco si posava, col peso e la stabilità di un cemento, con la pronta opacità del gesso sul muro. E il di- pinto pareva, veramente, un pezzo, uno spazio di muro su cui il ""maestro"" applicasse i tocchi finali, gli aggiustamenti, riempisse con mano esperta i piccoli invisibili vuoti, spia- nasse e livellasse le impercettibili mancanze, che solo il suo occhio può avvertire Lo Zuccone, la testa-cilindro del signore ""Ubriaco"" si andava così completando, ostruen- do in una pienezza, in un giusto peso e giusta dimensione, che di più non si poteva","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=191,1516,1412,60 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=203,1817,1328,63 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=211,1664,1006,64 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=1217,1664,382,57 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=205,1590,1388,58 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=197,1743,1374,61 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=241,1893,1354,57 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=197,1966,1434,72 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p6#xywh=1196,1635,44,31",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek10/anno_0,Penelope,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=171,1594,1386,62",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek11/anno_0,Il cavaliere occidentale,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=171,1594,1386,62",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek12/anno_0,"Carrà, stava impiantando, dentro lo spazio allungato della tela rettangolare, l'idea plastica che furono le ""Figlie di Loth"".","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=165,1745,1430,57 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1669,1410,59",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_0,"dell'anno '19,  basta la Natura morta metafisica, quella con il busto di gesso,","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=153,1981,560,49 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=713,1976,880,64 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=681,1919,98,51 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=225,460,1390,60",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_1,il cilindro di legno,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=225,460,1390,60",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_2,"e l'altro blocchetto di legno-a-vene,","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=225,460,1390,60",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_3,"una riunione di oggetti a loro modo patetici a furia di silenzio,","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=217,534,1412,64 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=225,460,1390,60",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14/anno_0,"l' ""Amante dell'ingengere""","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=217,1299,1444,59",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15/anno_0,"""Il mulino di Sant'Anna"",","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=217,1299,1444,59",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16/anno_0,"""Il pino sul mare"",","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=217,1299,1444,59",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17/anno_0,"""La casa dell'amore""","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p14#xywh=219,1371,1430,63",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18/anno_0,": Canale a Venezia, del '26;","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=167,1517,1410,58",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19/anno_0,"il nudo di donna, che ha nome di Lucia, del '27","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=167,1594,1408,53 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=167,1517,1410,58",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek2/anno_0,"la grande tela dei ""Romantici""","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=165,1144,1416,61",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek20/anno_0," Mattino al mare, del '28;","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=167,1594,1408,53",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek21/anno_0,"la Foce del Ciquale, del '28;","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=167,1594,1408,53",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek22/anno_0,"la Seghe- ria dei marmi, del '28","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=167,1594,1408,53 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=161,1669,1424,56",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek23/anno_0,"San Giorgio Maggiore,","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=161,1669,1424,56",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek24/anno_0,"e il Bacino di S. Marco, del '32","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=161,1669,1424,56",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25/anno_0,"Marina di Carrara, del '30;","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=169,1743,1384,58 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=161,1669,1424,56",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/anno_0,"cato, di vecchia, o antica casa italiana. La casa, ad un piano, è dietro il porticato, che è deser- to, come deserto è tutto lo spazio della scena.  L'ombra della casa: una casa, come un cubo, un ammasso di pietra e mattoni, l'ombra della casa, sporge e dilaga, tanto sul davanti, come di fianco, dove va a infilarsi al piede di un alto muro: un muro, massiccio, di palazzo, che ha solo due minuscole finestrelle; due fessure di buio. Sul primo piano, a destra, e immerso nell'ombra, una statua, l'ombra di una statua, collocata sulla base di mattoni.","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=217,758,1438,69 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=207,529,1424,70 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=211,832,1434,71 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=207,608,1436,64 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=219,457,1422,68 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=219,684,1428,72 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p15#xywh=181,1973,1412,56",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/anno_1,"Non è traccia di uomo, né di passaggio umano. Tuttavia il quadro è di un'alta, commovente invocazione umana. Così, in una sorta di nuova, ripensata, trasognata, profonda mediatazione plastica del tempo dell' ""arte metafisica"",","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=207,1001,1422,46 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=217,1083,765,44 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=211,909,1450,73 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p16#xywh=211,832,1434,71",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek3/anno_0,"e la sedu- cente, struggente commozione romantica ""La Carrozzella","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=165,1218,1406,59 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=165,1144,1416,61",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek4/anno_0, La camera incantata,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=159,1440,1398,62",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek5/anno_0,"Il dio Ermafrodito,chiamato in seguito l'Idolo Ermafrodito","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=159,1440,1398,62",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6/anno_0,Madre e figlio,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek7/anno_0,Solitudine;,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek8/anno_0,la Musa metafisica;,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek9/anno_0,La Natura morta con la squadra,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=171,1594,1386,62 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_0,"Sopra il divanaccio del corridoio, in una scarsa luce, è appeso l'autoritratto del '54: ""Degas à la palette"".","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=201,539,1450,52 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=171,1715,142,36 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=173,1825,1412,47 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=248,1753,1361,41 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=207,463,1412,58",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_1,"Il giovanotto di vent'anni, ben dotato per la pittura, vi si affaccia e dichiara con la serietà, gravità d'impegno che resteranno l'insegna della sua vita","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=170,1905,1433,39 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=173,1825,1412,47",
