annotation,anchor,anchoredTo,conceptualLevel
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_0,_:t2397,http://www.wikidata.org/entity/Q153048,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_0,_:t2764,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_0,_:t2873,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_1,_:t2931,http://www.wikidata.org/entity/Q1636061,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_2,_:t3558,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_3,_:t3996,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_4,_:t3594,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/anno_5,_:t2637,http://www.wikidata.org/entity/Q1636061,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek10/anno_0,_:t3867,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek11/anno_0,_:t3325,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek12/anno_0,_:t3712,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_0,_:t2186,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_0,_:t3627,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_1,_:t3153,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_2,_:t3857,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_3,_:t2356,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14/anno_0,_:t3919,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15/anno_0,_:t2802,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16/anno_0,_:t3931,,
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17/anno_0,_:t2046,,
