annotation,modality,anchor,anchoredTo,act,agent,criterion,selectorValue
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1/anno_0,https://w3id.org/geko/denotation,_:t3129,,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,"xywh=138,1529,1450,59"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1/anno_0,https://w3id.org/geko/denotation,_:t3129,,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,"xywh=140,1455,1400,57"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1/anno_0,https://w3id.org/geko/denotation,_:t3129,,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,"xywh=138,1529,1450,59"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1/anno_0,https://w3id.org/geko/denotation,_:t3129,,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,"xywh=140,1455,1400,57"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_0,https://w3id.org/geko/denotation,_:t2275,http://www.wikidata.org/entity/Q1109475,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,"xywh=156,1833,1420,61"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_0,https://w3id.org/geko/denotation,_:t2275,http://www.wikidata.org/entity/Q1109475,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,"xywh=146,1922,1418,44"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_0,https://w3id.org/geko/denotation,_:t2275,http://www.wikidata.org/entity/Q1109475,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,"xywh=156,1833,1420,61"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_0,https://w3id.org/geko/denotation,_:t2275,http://www.wikidata.org/entity/Q1109475,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,"xywh=146,1922,1418,44"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_1,https://w3id.org/geko/dynamization,_:t3092,,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,"xywh=142,1998,793,42"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_1,https://w3id.org/geko/dynamization,_:t3092,,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,"xywh=146,1922,1418,44"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_1,https://w3id.org/geko/dynamization,_:t3092,,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,"xywh=142,1998,793,42"
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/anno_1,https://w3id.org/geko/dynamization,_:t3092,,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,"xywh=146,1922,1418,44"
